Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2026-01-04 14:37:00,2026-01-04 14:37:00,Pocket Withdrawal,1,0,GBP,COMPLETED,79.96
Transfer,Current,2026-01-04 18:09:00,2026-01-04 18:09:00,Pocket Withdrawal,14.5,0,GBP,COMPLETED,94.46
Transfer,Current,2026-01-04 18:09:00,2026-01-04 18:09:00,Pocket Withdrawal,1,0,GBP,COMPLETED,95.46
Transfer,Current,2026-01-04 19:53:00,2026-01-04 19:53:00,Pocket Withdrawal,4,0,GBP,COMPLETED,99.46
Transfer,Current,2026-01-04 19:53:00,2026-01-04 19:53:00,To pocket GBP Oszczędności from GBP,-0.82,0,GBP,COMPLETED,98.64
Card Payment,Current,2026-01-04 12:21:00,2026-01-05 12:01:00,Hong Kong Beverage,-39.8,0,GBP,COMPLETED,58.84
Card Payment,Current,2026-01-04 18:09:00,2026-01-05 12:08:00,Dez Amore,-15.2,0,GBP,COMPLETED,43.64
Card Payment,Current,2026-01-04 13:49:00,2026-01-05 12:11:00,Plant Perfections,-6,0,GBP,COMPLETED,37.64
Card Payment,Current,2026-01-04 09:13:00,2026-01-05 12:29:00,Trainline,-24.19,0,GBP,COMPLETED,13.45
Card Payment,Current,2026-01-04 00:00:00,2026-01-05 12:46:00,Transport for London,-8.6,0,GBP,COMPLETED,4.85
Card Payment,Current,2026-01-04 14:37:00,2026-01-05 13:22:00,Jn Foods,-4.4,0,GBP,COMPLETED,0.45
Card Payment,Current,2026-01-04 19:53:00,2026-01-05 13:27:00,WHSmith,-3.59,0,GBP,COMPLETED,-3.14
Exchange,Current,2026-01-05 13:33:00,2026-01-05 13:33:00,Exchanged to GBP,0.87,0,GBP,COMPLETED,-2.27
Topup,Current,2026-01-05 15:32:00,2026-01-05 15:32:00,Top-up by *4787,10,0,GBP,COMPLETED,7.73
Card Payment,Current,2026-01-04 10:28:00,2026-01-06 13:52:00,South Western Railway,-4.9,0,GBP,COMPLETED,2.83
Card Refund,Current,2026-01-08 00:00:00,2026-01-08 12:49:00,Marks & Spencer,130,0,GBP,COMPLETED,132.83
Card Payment,Current,2026-01-07 18:38:00,2026-01-08 13:10:00,Marks & Spencer,-1,0,GBP,COMPLETED,131.83
Transfer,Current,2026-01-08 17:20:00,2026-01-08 17:20:00,To pocket GBP Oszczędności from GBP,-1.4,0,GBP,COMPLETED,130.43
Transfer,Current,2026-01-08 17:37:00,2026-01-08 17:37:00,Pocket Withdrawal,36.3,0,GBP,COMPLETED,166.73
Card Payment,Current,2026-01-09 06:27:00,2026-01-09 06:27:00,Transport for London,-8.6,0,GBP,REVERTED,165.93
Transfer,Current,2026-01-09 06:27:00,2026-01-09 06:27:00,To pocket GBP Oszczędności from GBP,-0.8,0,GBP,COMPLETED,165.93
Transfer,Current,2026-01-09 14:32:00,2026-01-09 14:32:00,Pocket Withdrawal,11,0,GBP,COMPLETED,176.93
Card Payment,Current,2026-01-08 17:20:00,2026-01-09 14:48:00,Places For People,-36.3,0,GBP,COMPLETED,140.63
Card Payment,Current,2026-01-09 14:33:00,2026-01-10 09:42:00,Marks & Spencer,-140,0,GBP,COMPLETED,0.63
Transfer,Current,2026-01-10 14:54:00,2026-01-10 14:54:00,Pocket Withdrawal,10,0,GBP,COMPLETED,10.63
Transfer,Current,2026-01-10 14:55:00,2026-01-10 14:55:00,To pocket GBP Oszczędności from GBP,-0.2,0,GBP,COMPLETED,10.43
Transfer,Current,2026-01-10 22:21:00,2026-01-10 22:21:00,Pocket Withdrawal,2.7,0,GBP,COMPLETED,13.13
Transfer,Current,2026-01-10 22:22:00,2026-01-10 22:22:00,Pocket Withdrawal,0.5,0,GBP,COMPLETED,13.63
Card Payment,Current,2026-01-10 22:22:00,2026-01-11 10:04:00,Tesco,-3.35,0,GBP,COMPLETED,10.28
Card Payment,Current,2026-01-10 14:55:00,2026-01-11 10:04:00,Tesco,-9.9,0,GBP,COMPLETED,0.38
Transfer,Current,2026-01-11 14:19:00,2026-01-11 14:19:00,Pocket Withdrawal,40,0,GBP,COMPLETED,40.38
Transfer,Current,2026-01-11 14:29:00,2026-01-11 14:29:00,Pocket Withdrawal,35,0,GBP,COMPLETED,75.38
Transfer,Current,2026-01-12 01:13:00,2026-01-12 01:13:00,To pocket GBP Budget - Travel from GBP,-2.84,0,GBP,COMPLETED,72.54
Card Payment,Current,2026-01-11 14:20:00,2026-01-12 13:53:00,Tesco,-39.54,0,GBP,COMPLETED,33
Card Payment,Current,2026-01-11 14:29:00,2026-01-12 13:53:00,Tesco,-33,0,GBP,COMPLETED,0
Transfer,Current,2026-01-13 18:22:00,2026-01-13 18:22:00,Pocket Withdrawal,4,0,GBP,COMPLETED,4
Transfer,Current,2026-01-13 20:58:00,2026-01-13 20:58:00,Pocket Withdrawal,0.3,0,GBP,COMPLETED,4.3
Transfer,Current,2026-01-13 20:58:00,2026-01-13 20:58:00,To Jakub Tomasz Kiepas,-4.25,0,GBP,COMPLETED,0.05
Topup,Current,2026-01-14 21:24:00,2026-01-14 21:24:00,Top-up by *4787,18,0,GBP,COMPLETED,18.05
Exchange,Current,2026-01-14 21:25:00,2026-01-14 21:25:00,Exchanged to PLN,-17.36,0,GBP,COMPLETED,0.69
Transfer,Current,2026-01-17 13:59:00,2026-01-17 13:59:00,Pocket Withdrawal,50,0,GBP,COMPLETED,50.69
Transfer,Current,2026-01-17 14:17:00,2026-01-17 14:17:00,To pocket GBP Oszczędności from GBP,-0.42,0,GBP,COMPLETED,50.27
Transfer,Current,2026-01-17 19:56:00,2026-01-17 19:56:00,To pocket GBP Budget - Food from GBP,-25.48,0,GBP,COMPLETED,24.79
Transfer,Current,2026-01-17 21:56:00,2026-01-17 21:56:00,Pocket Withdrawal,0.4,0,GBP,COMPLETED,25.19
Card Payment,Current,2026-01-17 14:17:00,2026-01-18 08:56:00,Sainsbury's,-24.79,0,GBP,COMPLETED,0.4
Card Payment,Current,2026-01-17 21:56:00,2026-01-18 09:33:00,Hart District Council,-0.4,0,GBP,COMPLETED,0
Transfer,Current,2026-01-19 19:37:00,2026-01-19 19:37:00,Pocket Withdrawal,65,0,GBP,COMPLETED,65
Card Payment,Current,2026-01-19 19:37:00,2026-01-20 12:01:00,Tesco,-64.71,0,GBP,COMPLETED,0.29
Transfer,Current,2026-01-22 18:35:00,2026-01-22 18:35:00,Pocket Withdrawal,11,0,GBP,COMPLETED,11.29
Card Payment,Current,2026-01-22 18:36:00,2026-01-23 10:25:00,Tesco,-10.5,0,GBP,COMPLETED,0.79
Topup,Current,2026-01-24 01:37:00,2026-01-24 01:37:00,Top-up by *4787,530,0,GBP,COMPLETED,530.79
Transfer,Current,2026-01-24 01:38:00,2026-01-24 01:38:00,To pocket GBP Budget - Food from GBP,-350,0,GBP,COMPLETED,180.79
Transfer,Current,2026-01-24 01:38:00,2026-01-24 01:38:00,To pocket GBP Budget - Travel from GBP,-100,0,GBP,COMPLETED,80.79
Transfer,Current,2026-01-24 01:38:00,2026-01-24 01:38:00,To pocket GBP Subscriptions from GBP,-80,0,GBP,COMPLETED,0.79
Transfer,Current,2026-01-24 16:59:00,2026-01-24 16:59:00,Pocket Withdrawal,94,0,GBP,COMPLETED,94.79
Transfer,Current,2026-01-24 16:59:00,2026-01-24 16:59:00,To pocket GBP Oszczędności from GBP,-0.48,0,GBP,COMPLETED,94.31
Card Payment,Current,2026-01-24 16:59:00,2026-01-25 08:55:00,Tesco,-93.76,0,GBP,COMPLETED,0.55
Transfer,Current,2026-01-25 15:15:00,2026-01-25 15:15:00,Pocket Withdrawal,6,0,GBP,COMPLETED,6.55
Transfer,Current,2026-01-25 15:15:00,2026-01-25 15:15:00,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,6.53
Transfer,Current,2026-01-25 17:50:00,2026-01-25 17:50:00,Pocket Withdrawal,3.5,0,GBP,COMPLETED,10.03
Card Payment,Current,2026-01-25 17:50:00,2026-01-26 11:13:00,The Atrium,-3.5,0,GBP,COMPLETED,6.53
Card Payment,Current,2026-01-25 15:15:00,2026-01-26 11:34:00,Vue Cinemas,-5.99,0,GBP,COMPLETED,0.54
Card Payment,Current,2026-01-25 22:22:00,2026-01-26 12:09:00,Hart District Council,-0.4,0,GBP,COMPLETED,0.14
Topup,Current,2026-01-26 12:37:00,2026-01-26 12:37:00,Top-up by *4787,29,0,GBP,COMPLETED,29.14
Topup,Current,2026-01-26 12:49:00,2026-01-26 12:49:00,Top-up by *4787,10,0,GBP,COMPLETED,39.14
Transfer,Current,2026-01-26 12:50:00,2026-01-26 12:50:00,To pocket GBP Oszczędności from GBP,-0.26,0,GBP,COMPLETED,38.88
Topup,Current,2026-01-26 15:18:00,2026-01-26 15:18:00,Top-up by *4787,22,0,GBP,COMPLETED,60.88
Topup,Current,2026-01-26 15:42:00,2026-01-26 15:42:00,Top-up by *4787,47,0,GBP,COMPLETED,107.88
Topup,Current,2026-01-26 15:47:00,2026-01-26 15:47:00,Top-up by *4787,60,0,GBP,COMPLETED,167.88
Transfer,Current,2026-01-26 15:47:00,2026-01-26 15:47:00,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,167.86
Card Payment,Current,2026-01-26 12:50:00,2026-01-27 13:33:00,Etsy,-5.87,0,GBP,COMPLETED,161.99
Card Payment,Current,2026-01-26 15:47:00,2026-01-27 13:36:00,Unique Flowers,-59.99,0,GBP,COMPLETED,102
Card Payment,Current,2026-01-26 15:42:00,2026-01-27 14:41:00,Wooting,-47.05,0,GBP,COMPLETED,54.95
Card Payment,Current,2026-01-26 12:37:00,2026-01-27 15:07:00,Getahug,-28.65,0,GBP,COMPLETED,26.3
Card Payment,Current,2026-01-26 15:18:00,2026-01-28 10:18:00,Amazon,-26.22,0,GBP,COMPLETED,0.08
Topup,Current,2026-01-28 20:09:00,2026-01-28 20:09:00,Top-up by *4787,132,0,GBP,COMPLETED,132.08
Topup,Current,2026-01-28 20:43:00,2026-01-28 20:43:00,Top-up by *4787,196,0,GBP,COMPLETED,328.08
Transfer,Current,2026-01-28 20:45:00,2026-01-28 20:45:00,To pocket GBP Oszczędności from GBP,-0.14,0,GBP,COMPLETED,327.94
Transfer,Current,2026-01-29 17:27:00,2026-01-29 17:27:00,Pocket Withdrawal,8,0,GBP,COMPLETED,335.94
Transfer,Current,2026-01-29 17:28:00,2026-01-29 17:28:00,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,335.92
Card Payment,Current,2026-01-28 20:45:00,2026-01-30 09:05:00,Ryanair,-195.93,0,GBP,COMPLETED,139.99
Card Payment,Current,2026-01-28 20:11:00,2026-01-30 09:05:00,Ryanair,-131.16,0,GBP,COMPLETED,8.83
Transfer,Current,2026-01-31 13:03:00,2026-01-31 13:03:00,Pocket Withdrawal,34,0,GBP,COMPLETED,42.83
Transfer,Current,2026-01-31 13:03:00,2026-01-31 13:03:00,Pocket Withdrawal,1.6,0,GBP,COMPLETED,44.43
Transfer,Current,2026-01-31 13:04:00,2026-01-31 13:04:00,To pocket GBP Oszczędności from GBP,-0.78,0,GBP,COMPLETED,43.65
Card Payment,Current,2026-01-29 17:28:00,2026-01-31 13:17:00,Steam,-7.99,0,GBP,COMPLETED,35.66
Transfer,Current,2026-01-31 14:06:00,2026-01-31 14:06:00,Pocket Withdrawal,5,0,GBP,COMPLETED,40.66
Transfer,Current,2026-01-31 14:06:00,2026-01-31 14:06:00,To pocket GBP Oszczędności from GBP,-0.1,0,GBP,COMPLETED,40.56
Transfer,Current,2026-01-31 14:36:00,2026-01-31 14:36:00,Pocket Withdrawal,4,0,GBP,COMPLETED,44.56
Transfer,Current,2026-01-31 14:37:00,2026-01-31 14:37:00,Pocket Withdrawal,4,0,GBP,COMPLETED,48.56
Transfer,Current,2026-01-31 14:39:00,2026-01-31 14:39:00,To pocket GBP Oszczędności from GBP,-0.6,0,GBP,COMPLETED,47.96
Transfer,Current,2026-01-31 16:25:00,2026-01-31 16:25:00,Pocket Withdrawal,5,0,GBP,COMPLETED,52.96
Transfer,Current,2026-01-31 16:25:00,2026-01-31 16:25:00,To pocket GBP Oszczędności from GBP,-0.6,0,GBP,COMPLETED,52.36
Topup,Current,2026-01-31 16:41:00,2026-01-31 16:41:00,Top-up by *4787,28,0,GBP,COMPLETED,80.36
Transfer,Current,2026-01-31 16:44:00,2026-01-31 16:44:00,Pocket Withdrawal,4,0,GBP,COMPLETED,84.36
Transfer,Current,2026-01-31 16:44:00,2026-01-31 16:44:00,Pocket Withdrawal,1,0,GBP,COMPLETED,85.36
Transfer,Current,2026-01-31 17:27:00,2026-01-31 17:27:00,Pocket Withdrawal,6,0,GBP,COMPLETED,91.36
Transfer,Current,2026-01-31 17:27:00,2026-01-31 17:27:00,To pocket GBP Oszczędności from GBP,-0.5,0,GBP,COMPLETED,90.86
